"Line","Type","Content"
"1267","TRANG_MERGED_WITH_CONTENT","## TRANG 109"
"1275","VERY_LONG_LINE","Length=858 | Thứ nhất, khi với những thành tựu mới của kỹ thuật, điện thoại, vô tuyến đến những bản xa xôi nhất, "
"1281","TRANG_MERGED_WITH_CONTENT","## TRANG 110"
"1295","TRANG_MERGED_WITH_CONTENT","## TRANG 111"
"1322","TRANG_MERGED_WITH_CONTENT","## TRANG 112"
"1345","TRANG_MERGED_WITH_CONTENT","## TRANG 113"
"1365","TRANG_MERGED_WITH_CONTENT","## TRANG 114"
"1370","VERY_LONG_LINE","Length=943 | Tôi có được cái may mắn sinh ra trong một gia đình khoa bảng, biết phần lớn các nhà Nho nổi tiếng mà"
"1375","TRANG_MERGED_WITH_CONTENT","## TRANG 115"
"1379","VERY_LONG_LINE","Length=970 | 1. Không ai có gan nói mình hiểu được văn hóa Trung Hoa. Nó là một thế giới mênh mông với ít nhất 5 "
"1384","TRANG_MERGED_WITH_CONTENT","## TRANG 116"
"1396","TRANG_MERGED_WITH_CONTENT","## TRANG 117"
"1401","VERY_LONG_LINE","Length=1073 | “Khang Hi tự điển” có non bốn vạn chữ, nhưng thông thường phải nhớ khoán trên ba ngàn chữ thì biết đ"
"1407","TRANG_MERGED_WITH_CONTENT","## TRANG 118"
"1410","VERY_LONG_LINE","Length=905 | <thường bị chia năm xẻ bảy. Cũng không phải thống nhất bằng kinh tế, văn hoá. Kiểu thống nhất của nó"
"1416","TRANG_MERGED_WITH_CONTENT","## TRANG 119"
"1421","VERY_LONG_LINE","Length=969 | Thầy tôi kể lại câu chuyện sau đây: Sau khi đỗ phó bảng, thầy tôi thấy chữ mình chưa Tàu, đi học với"
"1427","TRANG_MERGED_WITH_CONTENT","## TRANG 120"
"1439","TRANG_MERGED_WITH_CONTENT","## TRANG 121"
"1452","TRANG_MERGED_WITH_CONTENT","## TRANG 122"
"1457","VERY_LONG_LINE","Length=824 | 3. Cái nguyên lý chỉ phối chữ viết, họa và nhạc, cũng như nghệ thuật Trung Hoa là ""cái vô"". Cái vô l"
"1463","TRANG_MERGED_WITH_CONTENT","## TRANG 123"
"1474","TRANG_MERGED_WITH_CONTENT","## TRANG 124"
"1476","VERY_LONG_LINE","Length=805 | Quốc không treo lên tường trong khung gỗ cũng như tranh thế giới. Người ta cuộn nó lại như quyển sác"
"1484","TRANG_MERGED_WITH_CONTENT","## TRANG 125"
"1495","TRANG_MERGED_WITH_CONTENT","## TRANG 126"
"1500","VERY_LONG_LINE","Length=988 | 5. Một số đối lập giữa thức ăn Việt Nam với thức ăn Trung Quốc cũng cho ta thấy sự khác nhau. Tên th"
"1504","TRANG_MERGED_WITH_CONTENT","## TRANG 127"
"1511","VERY_LONG_LINE","Length=931 | "" Theo tôi, người của một nước đã tiếp thu văn hóa Hán, tôi có cảm tưởng như sau: Tôi chỉ xét những "
"1515","TRANG_MERGED_WITH_CONTENT","## TRANG 128"
"1528","TRANG_MERGED_WITH_CONTENT","## TRANG 129"
"1541","TRANG_MERGED_WITH_CONTENT","## TRANG 130"
"1555","TRANG_MERGED_WITH_CONTENT","## TRANG 131"
"1559","VERY_LONG_LINE","Length=1427 | 9.2. Cuộc đi thăm những di tích văn hóa ở Bắc Kinh gợi cho tôi một ấn tượng khó quên về một nền văn "
"1560","VERY_LONG_LINE","Length=1426 | 9.2. Cuộc đi thăm những di tích văn hóa ở Bắc Kinh gợi cho tôi một ấn tượng khó quên về một nền văn "
"1561","VERY_LONG_LINE","Length=1426 | 9.2. Cuộc đi thăm những di tích văn hóa ở Bắc Kinh gợi cho tôi một ấn tượng khó quên về một nền văn "
"1562","VERY_LONG_LINE","Length=1306 | 9.2. Cuộc đi thăm những di tích văn hóa ở Bắc Kinh gợi cho tôi một ấn tượng khó quên về một nền văn "
"1566","TRANG_MERGED_WITH_CONTENT","## TRANG 132"
"1579","TRANG_MERGED_WITH_CONTENT","## TRANG 133"
"1582","VERY_LONG_LINE","Length=918 | phán. Nạn phá rùng có phải là hiện thực không? Nếu không phải là hiện thực tại sao ngày nay nó làm c"
"1592","TRANG_MERGED_WITH_CONTENT","## TRANG 134"
"1606","TRANG_MERGED_WITH_CONTENT","## TRANG 135"
"1618","TRANG_MERGED_WITH_CONTENT","## TRANG 136"
"1627","TRANG_MERGED_WITH_CONTENT","## TRANG 137"
"1638","TRANG_MERGED_WITH_CONTENT","## TRANG 138"
"1649","TRANG_MERGED_WITH_CONTENT","## TRANG 139"
"1658","TRANG_MERGED_WITH_CONTENT","## TRANG 140"
"1669","TRANG_MERGED_WITH_CONTENT","## TRANG 141"
"1679","TRANG_MERGED_WITH_CONTENT","## TRANG 142"
"1696","TRANG_MERGED_WITH_CONTENT","## TRANG 143"
"1707","TRANG_MERGED_WITH_CONTENT","## TRANG 144"
"1712","VERY_LONG_LINE","Length=893 | Trong tiếp xúc chắc chắn có thay đổi, có bỏ những điều khi xưa cho là thích hợp nhưng nay không thíc"
"1718","TRANG_MERGED_WITH_CONTENT","## TRANG 145"
"1729","TRANG_MERGED_WITH_CONTENT","## TRANG 146"
"1741","TRANG_MERGED_WITH_CONTENT","## TRANG 147"
"1746","VERY_LONG_LINE","Length=927 | Mặt khác, văn hóa Hán không chỉ vào ba nước Việt Nam, Triều Tiên, Nhật Bản bằng con đường chính thốn"
"1752","TRANG_MERGED_WITH_CONTENT","## TRANG 148"
"1761","TRANG_MERGED_WITH_CONTENT","## TRANG 149"
"1772","TRANG_MERGED_WITH_CONTENT","## TRANG 150"
"1785","TRANG_MERGED_WITH_CONTENT","## TRANG 151"
"1798","TRANG_MERGED_WITH_CONTENT","## TRANG 152"
"1806","TRANG_MERGED_WITH_CONTENT","## TRANG 153"
"1813","TRANG_MERGED_WITH_CONTENT","## TRANG 154"
"1826","TRANG_MERGED_WITH_CONTENT","## TRANG 155"
"1831","VERY_LONG_LINE","Length=1138 | Thái độ gay gắt này có lý do chính đáng. Đa số người Cách mạng Trung Quốc và ở Việt Nam đang lo tìm "
"1835","TRANG_MERGED_WITH_CONTENT","## TRANG 156"
"1842","VERY_LONG_LINE","Length=932 | Mác không nói gì tới các biện pháp cụ thể để xây dựng CNXH, mà chỉ nói đến biện pháp để giành lấy ch"
"1846","TRANG_MERGED_WITH_CONTENT","## TRANG 157"
"1859","TRANG_MERGED_WITH_CONTENT","## TRANG 158"
"1870","TRANG_MERGED_WITH_CONTENT","## TRANG 159"
"1887","TRANG_MERGED_WITH_CONTENT","## TRANG 160"
"1898","TRANG_MERGED_WITH_CONTENT","## TRANG 161"
"1910","TRANG_MERGED_WITH_CONTENT","## TRANG 162"
"1929","TRANG_MERGED_WITH_CONTENT","## TRANG 163"
"1931","VERY_LONG_LINE","Length=1385 | tham gia vào chính trị. Nó không chống lại những ham<br>muốn bình thường để vạch ra một ranh giới kh"
"1937","TRANG_MERGED_WITH_CONTENT","## TRANG 164"
"1960","TRANG_MERGED_WITH_CONTENT","## TRANG 165"
"1982","TRANG_MERGED_WITH_CONTENT","## TRANG 166"
"2002","TRANG_MERGED_WITH_CONTENT","## TRANG 167"
"2021","TRANG_MERGED_WITH_CONTENT","## TRANG 168"
"2036","TRANG_MERGED_WITH_CONTENT","## TRANG 169"
"2047","TRANG_MERGED_WITH_CONTENT","## TRANG 170"
"2065","TRANG_MERGED_WITH_CONTENT","## TRANG 171"
"2080","TRANG_MERGED_WITH_CONTENT","## TRANG 172"
"2108","TRANG_MERGED_WITH_CONTENT","## TRANG 173"
"2126","TRANG_MERGED_WITH_CONTENT","## TRANG 174"
"2130","VERY_LONG_LINE","Length=877 | Cho đến nay việc giải thích, theo tôi chẳng ăn khớp gì với học thuyết của Khổng tử cả, bởi vì trong "
"2136","TRANG_MERGED_WITH_CONTENT","## TRANG 175"
"2147","TRANG_MERGED_WITH_CONTENT","## TRANG 176"
"2151","VERY_LONG_LINE","Length=887 | Nếu ta xét nội dung của từng khái niệm đã được Khổng tử xác định về Lễ, Nhân, Nghĩa, Hiếu, Đễ, Trung"
"2157","TRANG_MERGED_WITH_CONTENT","## TRANG 177"
"2174","TRANG_MERGED_WITH_CONTENT","## TRANG 178"
"2195","TRANG_MERGED_WITH_CONTENT","## TRANG 179"
"2198","VERY_LONG_LINE","Length=1007 | xẹ ngựa), thư (sách), và khoa học về các con số. Nó công phu và tốn kém nên chỉ dành cho quý tộc, kh"
"2205","TRANG_MERGED_WITH_CONTENT","## TRANG 180"
"2220","TRANG_MERGED_WITH_CONTENT","## TRANG 181"
"2225","VERY_LONG_LINE","Length=909 | Một triết học là phản ánh cụ thể những nguyện vọng của một giai đoạn cụ thể. Do đó, tất yếu triết họ"
"2231","TRANG_MERGED_WITH_CONTENT","## TRANG 182"
"2236","VERY_LONG_LINE","Length=954 | Dưới một chế độ phong kiến phân quyền như vậy, quyền lực của thiên tử cũng như của các vua chư hầu b"
"2242","TRANG_MERGED_WITH_CONTENT","## TRANG 183"
"2247","VERY_LONG_LINE","Length=881 | Từ khi Khổng tử còn sống (-555 đến -479) cho đến năm -140 học thuyết của ông chẳng qua chỉ là một ch"
"2251","TRANG_MERGED_WITH_CONTENT","## TRANG 184"
"2262","TRANG_MERGED_WITH_CONTENT","## TRANG 185"
"2267","VERY_LONG_LINE","Length=1013 | Lưu Bang đã khôn khéo chọn Khổng giáo, do chỗ Khổng giáo duy lý hóa ở cái tâm thức có sẵn của nhân d"
"2273","TRANG_MERGED_WITH_CONTENT","## TRANG 186"
"2276","VERY_LONG_LINE","Length=849 | dất nước giàu có, yên ổn nhưng lại muốn noi gương Tần Thủy Hoàng, mở rộng đất đai, tu tiên, sống xa "
"2284","TRANG_MERGED_WITH_CONTENT","## TRANG 187"
"2299","TRANG_MERGED_WITH_CONTENT","## TRANG 188"
"2314","TRANG_MERGED_WITH_CONTENT","## TRANG 189"
"2319","VERY_LONG_LINE","Length=1074 | Nhưng nếu ta chỉ căn cứ vào lý luận mà xét thì không thể cắt nghĩa được tại sao Nho giáo này lại tồn"
"2323","TRANG_MERGED_WITH_CONTENT","## TRANG 190"
"2334","TRANG_MERGED_WITH_CONTENT","## TRANG 191"
"2353","TRANG_MERGED_WITH_CONTENT","## TRANG 192"
"2365","TRANG_MERGED_WITH_CONTENT","## TRANG 193"
"2382","TRANG_MERGED_WITH_CONTENT","## TRANG 194"
"2397","TRANG_MERGED_WITH_CONTENT","## TRANG 195"
"2400","VERY_LONG_LINE","Length=803 | tôn ty luận thời cổ đối lập với chế độ dân chủ ngày nay. Nó lo bảo vệ một tôn ty đã được xác lập xon"
"2408","TRANG_MERGED_WITH_CONTENT","## TRANG 196"
"2423","TRANG_MERGED_WITH_CONTENT","## TRANG 197"
"2430","VERY_LONG_LINE","Length=884 | (3) Học thuyết ấy cản trở sự phát triển của cá nhân. Một cá nhân trong một xã hội theo Khổng giáo bị"
"2436","TRANG_MERGED_WITH_CONTENT","## TRANG 198"
"2449","TRANG_MERGED_WITH_CONTENT","## TRANG 199"
"2462","TRANG_MERGED_WITH_CONTENT","## TRANG 200"
"2477","TRANG_MERGED_WITH_CONTENT","## TRANG 201"
"2494","TRANG_MERGED_WITH_CONTENT","## TRANG 202"
"2505","TRANG_MERGED_WITH_CONTENT","## TRANG 203"
"2508","VERY_LONG_LINE","Length=814 | <thế kỷ XVI. Họ vừa bị chính quyền trong nước thuộc di tộc ngờ vực, vừa bị chính quyền thực dân chèn"
"2514","TRANG_MERGED_WITH_CONTENT","## TRANG 204"
"2529","TRANG_MERGED_WITH_CONTENT","## TRANG 205"
"2541","TRANG_MERGED_WITH_CONTENT","## TRANG 206"
"2559","TRANG_MERGED_WITH_CONTENT","## TRANG 207"
"2578","TRANG_MERGED_WITH_CONTENT","## TRANG 208"
"2583","VERY_LONG_LINE","Length=1108 | Khái niệm tiến bộ dựa trên sản xuất vật chất trở thành vô nghĩa không kém. Một chiếc tàu hỏa chở đượ"
"2589","TRANG_MERGED_WITH_CONTENT","## TRANG 209"
"2604","TRANG_MERGED_WITH_CONTENT","## TRANG 210"
"2625","TRANG_MERGED_WITH_CONTENT","## TRANG 211"
"2638","TRANG_MERGED_WITH_CONTENT","## TRANG 212"
"2643","VERY_LONG_LINE","Length=830 | Trong chương này, chúng tôi không đề cập đến chuyện khen hay chê. Chúng tôi xét độ khúc xạ của Nho g"
"2647","TRANG_MERGED_WITH_CONTENT","## TRANG 213"
"2659","TRANG_MERGED_WITH_CONTENT","## TRANG 214"
"2664","VERY_LONG_LINE","Length=908 | 2. Khái niệm ""khúc xạ"" (réfraction) là lấy ở vật lý học. Nó chỉ một tia ánh sáng khi đi qua một vật "
"2668","TRANG_MERGED_WITH_CONTENT","## TRANG 215"
"2675","TRANG_MERGED_WITH_CONTENT","## TRANG 216"
"2679","VERY_LONG_LINE","Length=907 | Những người nghiên cứu triết học có xu hướng đề cao quá đáng vai trò của các nhà tư tưởng, tưởng chừ"
"2685","TRANG_MERGED_WITH_CONTENT","## TRANG 217"
"2694","TRANG_MERGED_WITH_CONTENT","## TRANG 218"
"2699","VERY_LONG_LINE","Length=1171 | Trung Hoa không có truyền thống này. Không một nhà tư tưởng nào xây dựng tư tưởng mình theo mô hình "
"2703","TRANG_MERGED_WITH_CONTENT","## TRANG 219"
"2718","TRANG_MERGED_WITH_CONTENT","## TRANG 220"
"2723","VERY_LONG_LINE","Length=1115 | Khổng tử chắc chắn chịu ảnh hưởng những quan niệm này, nhưng thực tế ông không nói đến các quan hệ g"
"2728","TRANG_MERGED_WITH_CONTENT","## TRANG 221"
"2731","VERY_LONG_LINE","Length=933 | <thần, chuyện quái lạ. Cũng vậy khi ốm, ông không cùng bái quỷ thần. Khi dạy ""Kinh Thi"" trước những "
"2737","TRANG_MERGED_WITH_CONTENT","## TRANG 222"
"2750","TRANG_MERGED_WITH_CONTENT","## TRANG 223"
"2755","VERY_LONG_LINE","Length=1093 | 6. Đặc biệt, Khổng giáo không phải là một học thuyết cho mọi người. Trong thời đại phong kiến của Cổ"
"2761","TRANG_MERGED_WITH_CONTENT","## TRANG 224"
"2772","TRANG_MERGED_WITH_CONTENT","## TRANG 225"
"2777","VERY_LONG_LINE","Length=1049 | 9. Trước hết, nói đến môi trường tự nhiên của Trung Hoa vào thời Khổng tử. Lúc ấy, địa bàn Hán tộc c"
"2781","TRANG_MERGED_WITH_CONTENT","## TRANG 226"
"2788","TRANG_MERGED_WITH_CONTENT","## TRANG 227"
"2801","TRANG_MERGED_WITH_CONTENT","## TRANG 228"
"2806","VERY_LONG_LINE","Length=855 | Thứ hai, đất nước là của dân, không ai có thể muốn có gì mà chia cắt nó. Vua Trung Hoa đã bao lần ch"
"2812","TRANG_MERGED_WITH_CONTENT","## TRANG 229"
"2817","VERY_LONG_LINE","Length=1063 | Khổng giáo là một học thuyết không nói đến ""Tổ quốc"". Còn con người Việt Nam là con người tổ quốc lu"
"2821","TRANG_MERGED_WITH_CONTENT","## TRANG 230"
"2826","VERY_LONG_LINE","Length=1068 | Tôi nói đến hai khái niệm chủ chốt của Trung Quốc là ""Trung"" và ""Hiếu"". Chữ Trung của Trung Quốc chỉ"
"2830","TRANG_MERGED_WITH_CONTENT","## TRANG 231"
"2841","TRANG_MERGED_WITH_CONTENT","## TRANG 232"
"2846","VERY_LONG_LINE","Length=977 | Đạo Nho Việt Nam và đạo nho Trung Quốc đều lấy chữ ""Hiếu"" làm nên tăng. Nhưng nội dung hai chữ này r"
"2850","TRANG_MERGED_WITH_CONTENT","## TRANG 233"
"2855","VERY_LONG_LINE","Length=908 | Đây là lời trao đổi giữa một nhà Nho với một nhà Nho, cả hai đều nổi tiếng, và Nguyễn Trãi vâng theo"
"2861","TRANG_MERGED_WITH_CONTENT","## TRANG 234"
"2878","TRANG_MERGED_WITH_CONTENT","## TRANG 235"
"2894","TRANG_MERGED_WITH_CONTENT","## TRANG 236"
"2909","TRANG_MERGED_WITH_CONTENT","## TRANG 237"
"2914","VERY_LONG_LINE","Length=802 | Người Việt Nam cũng như người Đông Nam Á làm lúa nước. Làm lúa nước là làm một nông nghiệp cực kỳ ph"
"2920","TRANG_MERGED_WITH_CONTENT","## TRANG 238"
"2925","VERY_LONG_LINE","Length=1090 | Ta hãy xem Nho giáo bị khóc xạ như thế nào khi nhập vào cấu trúc làng xã. Nho giáo không thể nào phá"
"2931","TRANG_MERGED_WITH_CONTENT","## TRANG 239"
"2934","VERY_LONG_LINE","Length=1100 | Trung Hoa, người dân không có diện mạo trước bộ máy quan liêu triều đình. Bộ máy này trực tiếp bắt l"
"2940","TRANG_MERGED_WITH_CONTENT","## TRANG 240"
"2945","VERY_LONG_LINE","Length=820 | Nền văn hóa làng xã mới là nền tảng của tâm thức Việt Nam, không phải Nho giáo. Người Việt Nam đã ti"
"2949","TRANG_MERGED_WITH_CONTENT","## TRANG 241"
"2960","TRANG_MERGED_WITH_CONTENT","## TRANG 242"
"2965","VERY_LONG_LINE","Length=1127 | ""Cho tới gần đây, gia đình Trung Quốc là một vũ trụ vi mô, một nhà nước thu nhỏ lại. Gia đình chứ kh"
"2971","TRANG_MERGED_WITH_CONTENT","## TRANG 243"
"2976","VERY_LONG_LINE","Length=859 | Trong xã hội Việt Nam, đàn bà quản lý kinh tế, đàn bà đi chợ mua bán, đàn ông đi mua bán là bất đắc "
"2982","TRANG_MERGED_WITH_CONTENT","## TRANG 244"
"2993","TRANG_MERGED_WITH_CONTENT","## TRANG 245"
"2998","VERY_LONG_LINE","Length=938 | Chỉ riêng Việt Nam và Triều Tiên biết đi con đường khác, độc lập, không học ở ai hết. Con đường ấy l"
"3009","TRANG_MERGED_WITH_CONTENT","## TRANG 246"
"3023","TRANG_MERGED_WITH_CONTENT","## TRANG 247"
"3035","TRANG_MERGED_WITH_CONTENT","## TRANG 248"
"3046","TRANG_MERGED_WITH_CONTENT","## TRANG 249"
"3048","VERY_LONG_LINE","Length=1465 | thời độc lập. Nhu cầu tiếp thu văn hóa Hán ở Việt Nam cũng như ở Triều Tiên không phải do bạo lực, m"
"3052","TRANG_MERGED_WITH_CONTENT","## TRANG 250"
"3056","VERY_LONG_LINE","Length=1306 | Đến đời Trần, việc giáo dục đã chu đáo hơn. Ngoài phép thì Tam trường của chế độ trước nhà Trần mở k"
"3062","TRANG_MERGED_WITH_CONTENT","## TRANG 251"
"3077","TRANG_MERGED_WITH_CONTENT","## TRANG 252"
"3088","TRANG_MERGED_WITH_CONTENT","## TRANG 253"
"3093","VERY_LONG_LINE","Length=899 | Ai dạy? Muốn là thầy đồ, ít nhất phải là khóa sinh, tức là một người có đủ tư cách đi thi, đã học hế"
"3097","TRANG_MERGED_WITH_CONTENT","## TRANG 254"
"3103","TRANG_MERGED_WITH_CONTENT","## TRANG 255"
"3111","VERY_LONG_LINE","Length=1118 | cái phần gọi là ngữ pháp. Tôi đã học theo lối học này với cha tôi, nhưng dĩ nhiên cha tôi không giản"
"3117","TRANG_MERGED_WITH_CONTENT","## TRANG 256"
"3128","TRANG_MERGED_WITH_CONTENT","## TRANG 257"
"3133","VERY_LONG_LINE","Length=894 | ""Ngũ Kinh"" và ""Tứ Thư"" mà người Việt Nam học thuộc lòng là kèm theo những lời giải thích của Trình M"
"3137","TRANG_MERGED_WITH_CONTENT","## TRANG 258"
"3148","TRANG_MERGED_WITH_CONTENT","## TRANG 259"
"3155","VERY_LONG_LINE","Length=828 | Dưới đây trình bày cách trông coi việc giáo dục đời Nguyễn mà chúng ta có nhiều tài liệu hơn cả. Nó "
"3159","TRANG_MERGED_WITH_CONTENT","## TRANG 260"
"3172","TRANG_MERGED_WITH_CONTENT","## TRANG 261"
"3183","TRANG_MERGED_WITH_CONTENT","## TRANG 262"
"3188","VERY_LONG_LINE","Length=1002 | Trường thi được bình sĩ trông coi cẩn thận, cứ trung bình 1000 thí sinh có 300 lính, cùng với voi ng"
"3192","TRANG_MERGED_WITH_CONTENT","## TRANG 263"
"3205","TRANG_MERGED_WITH_CONTENT","## TRANG 264"
"3208","VERY_LONG_LINE","Length=873 | theo Chu Hi, về ""Kinh Xuân Thu"" theo Công-Dương Cao và Cốc-Lương Xích, về ""Lễ Ký"" theo Trần Hạo, về "
"3214","TRANG_MERGED_WITH_CONTENT","## TRANG 265"
"3219","VERY_LONG_LINE","Length=893 | Nó phải theo Đường vận tức là phải làm thơ bất cứ Đường luật kiểu Đỗ Phủ. Nhưng vấn của Hán Việt có "
"3223","TRANG_MERGED_WITH_CONTENT","## TRANG 266"
"3230","VERY_LONG_LINE","Length=951 | Trong ""sách văn"" đề ra là một câu hỏi nhà vua hỏi quan thần. Câu hỏi này lấy ở một chuyện đã xảy ra "
"3234","TRANG_MERGED_WITH_CONTENT","## TRANG 267"
"3241","VERY_LONG_LINE","Length=832 | Lối kiêng húy di nhiên cũng bất chước Trung Hoa, nhưng ở Việt Nam chỉ bắt đầu từ đời Trần, đời Lý về"
"3245","TRANG_MERGED_WITH_CONTENT","## TRANG 268"
"3252","VERY_LONG_LINE","Length=1039 | Tuy số người thi hương là hàng ngàn nhưng số người đỗ rất ít. Những người đỗ chia làm hai hạng là cử"
"3260","TRANG_MERGED_WITH_CONTENT","## TRANG 269"
"3265","VERY_LONG_LINE","Length=1171 | Những người đỗ cử nhân tiếp tục lên kinh đô thi hội. Số này rất ít, trong danh sách thí sinh từ 1822"
"3269","TRANG_MERGED_WITH_CONTENT","## TRANG 270"
"3280","TRANG_MERGED_WITH_CONTENT","## TRANG 271"
"3285","VERY_LONG_LINE","Length=879 | Thi hội đã có ít người thi, mà người đỗ cũng rất ít. Trong giai đoạn từ 1821 đến 1850 đến 1850 theo "
"3291","TRANG_MERGED_WITH_CONTENT","## TRANG 272"
"3295","VERY_LONG_LINE","Length=953 | Muốn có ảnh hưởng tới nhân dân, nhất thiết phải là người đỗ cao. Nếu không, lời nói mất trong lượng."
"3301","TRANG_MERGED_WITH_CONTENT","## TRANG 273"
"3316","TRANG_MERGED_WITH_CONTENT","## TRANG 274"
"3319","VERY_LONG_LINE","Length=1096 | Bộ ""Di sản Hán Nôm Việt Nam, thư mục đề yếu"" cho ta danh sách 5038 quyển. Ngoài những quyển đã phân "
"3325","TRANG_MERGED_WITH_CONTENT","## TRANG 275"
"3340","TRANG_MERGED_WITH_CONTENT","## TRANG 276"
"3351","TRANG_MERGED_WITH_CONTENT","## TRANG 277"
"3366","TRANG_MERGED_WITH_CONTENT","## TRANG 278"
"3379","TRANG_MERGED_WITH_CONTENT","## TRANG 279"
